id,category,name,brand,search_url,save_as
b11,bottom,"Sweatpants, heather grey",Entireworld,https://www.entireworld.com/search?q=sweatpant,b11.jpg
b12,bottom,"Pleated wool trouser, ivory",Wardrobe.NYC,https://wardrobe.nyc/search?q=pleated+trouser,b12.jpg
b13,bottom,"Satin bias skirt, wine",Reformation,https://www.thereformation.com/search?q=bias+satin+skirt,b13.jpg
b14,bottom,"Barrel-leg jean, ecru",Citizens of Humanity,https://www.citizensofhumanity.com/search?q=barrel+jean,b14.jpg
b15,bottom,Track pant with side stripe,Adidas,https://www.adidas.com/us/search?q=track+pant,b15.jpg
b16,bottom,"Micro-shorts, black",Frankie Shop,https://thefrankieshop.com/search?q=micro+shorts,b16.jpg
d4,dress,"Long-sleeve knit dress, black",Khaite,https://khaite.com/search?q=knit+dress,d4.jpg
d5,dress,"Poplin shirtdress, blue stripe",Everlane,https://www.everlane.com/search?q=shirtdress,d5.jpg
d6,dress,Cottagecore prairie dress,Doen,https://shopdoen.com/search?q=prairie+dress,d6.jpg
d7,dress,"Metallic mini, silver",Rotate,https://rotatebirgerchristensen.com/search?q=metallic+mini,d7.jpg
d8,dress,"Draped jersey maxi, black",Norma Kamali,https://www.normakamali.com/search?q=jersey+maxi,d8.jpg
s6,shoes,"Shearling-lined boot, black",Sorel,https://www.sorel.com/search?q=shearling+boot,s6.jpg
s7,shoes,"Duck boot, waxed leather",L.L. Bean,https://www.llbean.com/llb/search?q=bean+boot,s7.jpg
s8,shoes,"Retro runner, cream",New Balance 990,https://www.newbalance.com/pd/990,s8.jpg
s9,shoes,"Ballet flat, black patent",Repetto,https://www.repetto.com/search?q=ballet+flat,s9.jpg
s10,shoes,"Mesh mary jane, silver",Alaïa,https://www.maison-alaia.com/en-us/search?q=mesh+flat,s10.jpg
s11,shoes,"Platform clog, wood + black",No.6,https://no6store.com/search?q=platform+clog,s11.jpg
s12,shoes,"Strappy heeled sandal, black",By Far,https://byfar.com/search?q=strappy+sandal,s12.jpg
s13,shoes,"Slide sandal, tan leather",Ancient Greek Sandals,https://ancient-greek-sandals.com/search?q=slide,s13.jpg
o7,outerwear,"Heavy wool overcoat, charcoal",Max Mara,https://us.maxmara.com/search?q=wool+overcoat,o7.jpg
o8,outerwear,"Down puffer, matte black",Uniqlo Ultra Light,https://www.uniqlo.com/us/en/search?q=ultra+light+down,o8.jpg
o9,outerwear,Shearling-collar barn jacket,Alex Mill,https://www.alexmill.com/search?q=barn+jacket,o9.jpg
o10,outerwear,"Long shearling coat, cream",Toteme,https://toteme-studio.com/search?q=shearling+coat,o10.jpg
o11,outerwear,"Quilted liner jacket, olive",Barbour,https://www.barbour.com/us/search?q=liddesdale,o11.jpg
o12,outerwear,"Faux fur coat, cocoa",Stand Studio,https://www.standstudio.com/search?q=faux+fur+coat,o12.jpg
o13,outerwear,"Cropped puffer, silver",The North Face,https://www.thenorthface.com/search?q=nuptse,o13.jpg
o14,outerwear,"Longline cardigan coat, oatmeal",COS,https://www.cos.com/en_usd/search.html?q=knit+coat,o14.jpg
o15,outerwear,"Waxed cotton anorak, navy",Filson,https://www.filson.com/search?q=waxed+jacket,o15.jpg
o16,outerwear,"Wool-blend bomber, oxblood",AMI Paris,https://www.amiparis.com/us/search?q=bomber,o16.jpg
h4,headwear,"Ribbed wool beanie, oatmeal",Le Bonnet,https://lebonnet.com/search?q=beanie,h4.jpg
h5,headwear,"Bucket hat, corduroy",Kangol,https://www.kangol.com/search?q=bucket+hat,h5.jpg
h6,headwear,"Silk head scarf, floral",& Other Stories,https://www.stories.com/en_usd/search.html?q=silk+scarf,h6.jpg
h7,headwear,"Newsboy cap, herringbone",Brixton,https://www.brixton.com/search?q=newsboy,h7.jpg
h8,headwear,"Faux fur ushanka, black",UGG,https://www.ugg.com/search?q=trapper+hat,h8.jpg
j5,jewelry,"Vintage brooch, pavé bar",Susan Alexandra,https://susanalexandra.com/search?q=brooch,j5.jpg
j6,jewelry,"Silver cuff, brushed",Ariel Gordon,https://arielgordonjewelry.com/search?q=cuff,j6.jpg
j7,jewelry,Beaded charm necklace,Éliou,https://eliou-eliou.com/search?q=beaded,j7.jpg
j8,jewelry,"Tennis bracelet, gold + CZ",Mejuri,https://mejuri.com/search?q=tennis+bracelet,j8.jpg
j9,jewelry,"Cross pendant, oxidized silver",Werkstatt:München,https://werkstatt-muenchen.com/search?q=cross,j9.jpg
j10,jewelry,"Chunky Cuban-link chain, silver",Miansai,https://www.miansai.com/search?q=cuban+chain,j10.jpg
j11,jewelry,"Statement signet ring, oversized",Tom Wood,https://www.tomwoodproject.com/search?q=signet+ring,j11.jpg
j12,jewelry,"Rope chain necklace, gold",David Yurman,https://www.davidyurman.com/search?q=rope+chain,j12.jpg
g4,bag,"Suede hobo, chocolate",The Row,https://www.therow.com/search?q=hobo,g4.jpg
g5,bag,"Mini shoulder bag, silver metallic",Marge Sherwood,https://margesherwood.com/search?q=mini+shoulder,g5.jpg
g6,bag,"Canvas messenger, ecru",Filson,https://www.filson.com/search?q=messenger,g6.jpg
g7,bag,Beaded evening minaudière,Cult Gaia,https://cultgaia.com/search?q=minaudiere,g7.jpg
t20,top,"Bow-detail satin blouse, butter",Sandy Liang,https://sandyliang.info/search?q=bow+blouse,t20.jpg
t21,top,"Peplum-hem crewneck, chocolate",Cecilie Bahnsen,https://ceciliebahnsen.com/search?q=peplum+top,t21.jpg
t22,top,"Sheer mesh long-sleeve, chocolate",Paloma Wool,https://palomawool.com/search?q=sheer+mesh,t22.jpg
t23,top,"Cropped varsity cardigan, cherry",Ganni,https://www.ganni.com/en-us/search?q=cropped+cardigan,t23.jpg
t24,top,"Grandpa cardigan, oversized oatmeal",The Elder Statesman,https://elder-statesman.com/search?q=cardigan,t24.jpg
t25,top,"Rosette-detail tank, cream",Simone Rocha,https://simonerocha.com/search?q=rosette,t25.jpg
t26,top,"Lace-trim camisole, baby blue",Reformation,https://www.thereformation.com/search?q=lace+camisole,t26.jpg
t27,top,"Cropped baby tee, mocha",Éterne,https://eterne.co/search?q=baby+tee,t27.jpg
t28,top,"Boat-neck striped tee, sage/cream",Loulou Studio,https://louloustudio.com/search?q=striped+tee,t28.jpg
t29,top,"Silk halter blouse, oxblood",Khaite,https://khaite.com/search?q=halter,t29.jpg
b17,bottom,"Capri pants, black",Wardrobe.NYC,https://wardrobe.nyc/search?q=capri,b17.jpg
b18,bottom,"Bermuda short, chocolate suede",Nanushka,https://nanushka.com/search?q=bermuda,b18.jpg
b19,bottom,"Barrel jean, dark indigo",Agolde,https://agolde.com/search?q=barrel+jean,b19.jpg
b20,bottom,"Suede maxi skirt, cognac",Chloé,https://www.chloe.com/us/search?q=suede+skirt,b20.jpg
b21,bottom,"Sequin mini skirt, silver",Rotate,https://rotatebirgerchristensen.com/search?q=sequin+skirt,b21.jpg
b22,bottom,"Tailored bermuda, butter",Frankie Shop,https://thefrankieshop.com/search?q=bermuda,b22.jpg
b23,bottom,"Tiered boho maxi skirt, ecru",Doen,https://shopdoen.com/search?q=tiered+skirt,b23.jpg
b24,bottom,"Wide-leg linen trouser, sage",Faithfull the Brand,https://faithfullthebrand.com/search?q=linen+trouser,b24.jpg
d9,dress,"Tiered boho maxi, ivory + tan trim",Chloé,https://www.chloe.com/us/search?q=boho+dress,d9.jpg
d10,dress,"Bow-strap slip dress, butter",Sandy Liang,https://sandyliang.info/search?q=slip+dress,d10.jpg
d11,dress,"Sheer lace maxi, black",Simone Rocha,https://simonerocha.com/search?q=lace+dress,d11.jpg
d12,dress,"Halter mini, cherry red",Réalisation Par,https://realisationpar.com/search?q=halter+dress,d12.jpg
s14,shoes,"Ballet flat with bow, cream mesh",Alaïa,https://www.maison-alaia.com/en-us/search?q=ballet+bow,s14.jpg
s15,shoes,"Boat shoe, tan leather",Sperry,https://www.sperry.com/search?q=authentic+original,s15.jpg
s16,shoes,"Gazelle sneaker, cherry",Adidas,https://www.adidas.com/us/search?q=gazelle,s16.jpg
s17,shoes,"Kitten-heel mule, oxblood suede",Loeffler Randall,https://www.loefflerrandall.com/search?q=kitten+mule,s17.jpg
s18,shoes,"Slouchy suede boot, chocolate",Isabel Marant,https://www.isabelmarant.com/us/search?q=suede+boot,s18.jpg
s19,shoes,"Fisherman sandal, tan",Aeyde,https://aeyde.com/search?q=fisherman+sandal,s19.jpg
o17,outerwear,"Barn jacket, waxed olive",Barbour,https://www.barbour.com/us/search?q=beaufort,o17.jpg
o18,outerwear,"Suede car coat, cognac",Isabel Marant Étoile,https://www.isabelmarant.com/us/search?q=suede+coat,o18.jpg
o19,outerwear,"Cropped satin bomber, butter",KHY,https://khy.com/search?q=bomber,o19.jpg
o20,outerwear,"Cape coat, sage wool",Massimo Dutti,https://www.massimodutti.com/us/search?q=cape+coat,o20.jpg
o21,outerwear,"Long trench, chocolate",Toteme,https://toteme-studio.com/search?q=long+trench,o21.jpg
o22,outerwear,"Metallic puffer, chrome silver",Rains,https://www.rains.com/search?q=puffer,o22.jpg
h9,headwear,"Bow headband, black velvet",Jennifer Behr,https://www.jenniferbehr.com/search?q=bow+headband,h9.jpg
h10,headwear,"Silk scarf, printed brown/cream",Hermès (vintage),https://www.grailed.com/shop?category=women&search=hermes+silk+scarf,h10.jpg
j13,jewelry,Pearl + chain hybrid necklace,Jenny Bird,https://www.jenny-bird.com/search?q=pearl+chain,j13.jpg
j14,jewelry,"Bow charm necklace, gold",Ben-Amun,https://ben-amun.com/search?q=bow+necklace,j14.jpg
g8,bag,"Suede fringed hobo, cognac",Chloé,https://www.chloe.com/us/search?q=fringed+hobo,g8.jpg
g9,bag,"Phone-strap crossbody, butter leather",Bottega Veneta,https://www.bottegaveneta.com/en-us/search?q=phone+bag,g9.jpg
g10,bag,"Oversized tote, chocolate suede",The Row,https://www.therow.com/search?q=oversized+tote,g10.jpg
op1,onepiece,"Wide-leg jumpsuit, black crepe",Norma Kamali,https://www.normakamali.com/search?q=jumpsuit,op1.jpg
op2,onepiece,"Utility jumpsuit, olive",Alex Mill,https://www.alexmill.com/search?q=jumpsuit,op2.jpg
op3,onepiece,"Linen romper, butter",Faithfull the Brand,https://faithfullthebrand.com/search?q=romper,op3.jpg
op4,onepiece,"Cotton overalls, indigo",Madewell,https://www.madewell.com/search?q=overalls,op4.jpg
op5,onepiece,"Halter jumpsuit, oxblood satin",Reformation,https://www.thereformation.com/search?q=jumpsuit,op5.jpg
op6,onepiece,"Tailored short romper, cream",Sézane,https://www.sezane.com/us/search?q=romper,op6.jpg
s20,shoes,"Chunky lug loafer, black",Prada,https://www.prada.com/us/en/search?q=chunky+loafer,s20.jpg
s21,shoes,"Platform penny loafer, oxblood",Miu Miu,https://www.miumiu.com/us/en/search?q=platform+loafer,s21.jpg
s22,shoes,"New Balance 550, cream/green",New Balance,https://www.newbalance.com/pd/550,s22.jpg
s23,shoes,"New Balance 2002R, mushroom",New Balance,https://www.newbalance.com/pd/2002r,s23.jpg
s24,shoes,"Salomon XT-6, silver/black",Salomon,https://www.salomon.com/en-us/search?q=xt-6,s24.jpg
s25,shoes,"Mary Jane flat, black patent",Miu Miu,https://www.miumiu.com/us/en/search?q=mary+jane,s25.jpg
s26,shoes,"Jelly flat sandal, clear",The Row,https://www.therow.com/search?q=jelly,s26.jpg
s27,shoes,"Chunky Chelsea boot, black",Alexander McQueen,https://www.alexandermcqueen.com/en-us/search?q=chelsea+boot,s27.jpg
s28,shoes,"Adidas SL 72, blue/yellow",Adidas,https://www.adidas.com/us/search?q=sl+72,s28.jpg
s29,shoes,"Platform sandal, black lug",Prada,https://www.prada.com/us/en/search?q=platform+sandal,s29.jpg
sc1,scarf,"Chunky wool scarf, oatmeal",Acne Studios,https://www.acnestudios.com/us/en/search?q=wool+scarf,sc1.jpg
sc2,scarf,"Cashmere scarf, charcoal",Naadam,https://naadam.co/search?q=cashmere+scarf,sc2.jpg
sc3,scarf,"Cable-knit scarf, cherry red",Sporty & Rich,https://sportyandrich.com/search?q=knit+scarf,sc3.jpg
sc4,scarf,"Plaid blanket scarf, forest/cream",Acne Studios,https://www.acnestudios.com/us/en/search?q=plaid+scarf,sc4.jpg
sc5,scarf,"Lightweight linen scarf, sage",& Other Stories,https://www.stories.com/en_usd/search.html?q=linen+scarf,sc5.jpg
n1,neck,"Silk twilly, printed floral",Hermès (vintage),https://www.grailed.com/shop?category=women&search=hermes+twilly,n1.jpg
n2,neck,"Silk neckerchief, cream/navy",& Other Stories,https://www.stories.com/en_usd/search.html?q=neckerchief,n2.jpg
n3,neck,"Cotton bandana, black paisley",RRL Ralph Lauren,https://www.ralphlauren.com/search?q=bandana,n3.jpg
n4,neck,"Skinny tie, black satin",Saint Laurent,https://www.ysl.com/en-us/search?q=tie,n4.jpg
n5,neck,"Wide silk tie, oxblood",Drake's,https://www.drakes.com/search?q=tie,n5.jpg
gl1,gloves,"Leather gloves, cashmere-lined black",Aris Gloves,https://arisgloves.com/search?q=cashmere+lined,gl1.jpg
gl2,gloves,"Knit gloves, oatmeal",Uniqlo Heattech,https://www.uniqlo.com/us/en/search?q=heattech+glove,gl2.jpg
gl3,gloves,"Leather driving gloves, cognac",Hestra,https://www.hestragloves.com/search?q=driving+glove,gl3.jpg
su1,sunglasses,Black cat-eye acetate,Celine,https://www.celine.com/en-us/search?q=sunglasses,su1.jpg
su2,sunglasses,"Wire aviators, gold",Ray-Ban,https://www.ray-ban.com/usa/search?q=aviator,su2.jpg
su3,sunglasses,"Oversized square, tortoise",Miu Miu,https://www.miumiu.com/us/en/search?q=sunglasses,su3.jpg
su4,sunglasses,"Sporty wraparound, silver mirror",Oakley,https://www.oakley.com/en-us/search?q=sunglasses,su4.jpg
