id,category,name,brand,retailer,aesthetics,palettes,warmth_min,warmth_max,occasions,colors,shape,search_url
o6,outerwear,Water-repellent shell,Uniqlo,uniqlo.com,streetwear|minimalist,neutrals|cool,38,60,casual,#2A2A2A,outer-shell,https://www.uniqlo.com/us/en/search?q=blocktech+parka
h1,headwear,Structured wool beret,Sézane,sezane.com,romantic|eclectic,neutrals|bold,25,60,casual|date|gallery,#1B1418,head-beret,https://www.sezane.com/us/search?q=beret
h2,headwear,"Cotton baseball cap, washed",Aimé Leon Dore,aimeleondore.com,streetwear|minimalist,neutrals|earth,45,100,casual,#8A867A,head-cap,https://www.aimeleondore.com/search?q=cap
h3,headwear,"Wide-brim wool hat, camel",Janessa Leone,janessaleone.com,romantic|eclectic|minimalist,earth|neutrals,35,75,casual|date|gallery,#C9A57A,head-widebrim,https://janessaleone.com/search?q=wide+brim
j1,jewelry,Chunky gold hoops,Missoma,missoma.com,eclectic|romantic|minimalist,earth|neutrals|bold,0,120,dinner|date|gallery|casual|work,#D9A44F,jew-hoop,https://www.missoma.com/search?q=chunky+gold+hoops
j2,jewelry,Silver signet ring,Mejuri,mejuri.com,minimalist|edgy|streetwear,cool|neutrals,0,120,work|dinner|date|gallery|casual,#B8B8BE,jew-ring,https://mejuri.com/search?q=signet+ring
j3,jewelry,Layered gold chain,Mejuri,mejuri.com,minimalist|streetwear|edgy|eclectic,neutrals|earth|bold,0,120,dinner|date|gallery|casual,#D9A44F,jew-chain,https://mejuri.com/search?q=gold+chain
j4,jewelry,Pearl drop earrings,Sophie Bille Brahe,sophiebillebrahe.com,romantic|minimalist|preppy,neutrals,0,120,wedding-guest|dinner|date|work,#F4EEDC|#D9A44F,jew-hoop,https://sophiebillebrahe.com/search?q=pearl+earring
g1,bag,"Structured leather tote, black",Mansur Gavriel,mansurgavriel.com,minimalist|edgy|preppy,neutrals,0,120,work|gallery|dinner,#1B1418,bag-tote,https://www.mansurgavriel.com/search?q=tote
g2,bag,Woven raffia crossbody,Sézane,sezane.com,romantic|eclectic,earth|neutrals,55,110,casual|date|dinner,#C9A57A|#8A5A3B,bag-cross,https://www.sezane.com/us/search?q=raffia+bag
g3,bag,"Nylon shoulder bag, black",Prada (vintage),grailed.com,streetwear|eclectic|edgy,neutrals|cool,0,120,casual|night|gallery|date,#1B1418,bag-cross,https://www.grailed.com/shop?category=women&search=prada+nylon+shoulder
t7,top,"Merino turtleneck, charcoal",Everlane,everlane.com,minimalist|edgy,neutrals|cool,20,55,work|dinner|gallery|date,#33383F,top-sweater,https://www.everlane.com/search?q=merino+turtleneck
t8,top,"Chunky wool crewneck, oatmeal",COS,cos.com,minimalist|romantic,neutrals|earth,15,50,casual|work|dinner,#E4D3B0,top-sweater,https://www.cos.com/en_usd/search.html?q=chunky+wool+sweater
t9,top,Cable-knit fisherman sweater,L.L. Bean,llbean.com,minimalist|eclectic|streetwear|preppy,neutrals|earth,10,48,casual|date,#F0EAD8,top-sweater,https://www.llbean.com/llb/search?q=fisherman+sweater
t10,top,"Cashmere crewneck, camel",Naadam,naadam.co,minimalist|romantic,neutrals|earth,25,58,work|dinner|gallery|date,#C9A57A,top-sweater,https://naadam.co/search?q=cashmere+crewneck
t11,top,"Waffle henley, forest",Buck Mason,buckmason.com,streetwear|minimalist|preppy,cool|earth,40,68,casual,#2E4A38,top-tshirt,https://www.buckmason.com/search?q=waffle+henley
t12,top,Cropped varsity sweatshirt,Sporty & Rich,sportyandrich.com,streetwear|romantic,neutrals|cool,45,72,casual,#F4EEDC|#1E2A44,top-sweater,https://sportyandrich.com/search?q=sweatshirt
t13,top,"Sheer mesh long-sleeve, black",Are.Na (indie),grailed.com,edgy|eclectic,neutrals|bold,62,90,night|concert|date,#1B1418,top-blouse,https://www.grailed.com/shop?category=women&search=sheer+mesh+top
t14,top,Broderie anglaise blouse,Doen,shopdoen.com,romantic,neutrals,60,88,date|dinner|gallery,#F4EEDC,top-blouse,https://shopdoen.com/search?q=broderie+blouse
t15,top,"Boxy poplin shirt, white",Toteme,toteme-studio.com,minimalist|eclectic,neutrals,55,88,work|dinner|gallery,#F4EEDC,top-blouse,https://toteme-studio.com/search?q=poplin+shirt
t16,top,Striped Breton long-sleeve,Saint James,saintjamesboutique.com,minimalist|romantic|eclectic|preppy,neutrals|cool,45,72,casual|date,#F4EEDC|#1E2A44,top-tshirt,https://www.saintjamesboutique.com/search?q=breton
t17,top,"Rugby polo, wide stripe",Aimé Leon Dore,aimeleondore.com,streetwear|eclectic|preppy,bold|neutrals,42,70,casual,#B23A2E|#F4EEDC,top-polo,https://www.aimeleondore.com/search?q=rugby
t18,top,"Slouchy cardigan, cream",Sézane,sezane.com,romantic|minimalist|eclectic|preppy,neutrals|earth,35,65,casual|date|dinner,#F0E8CE,top-cardigan,https://www.sezane.com/us/search?q=cardigan
t19,top,"Corseted bustier top, ivory",Miaou,miaou.com,edgy|romantic|eclectic,neutrals|bold,62,90,night|dinner|date,#F4EEDC,top-tank,https://miaou.com/search?q=corset
b7,bottom,"Thermal-lined trouser, black",Uniqlo Heattech,uniqlo.com,minimalist|streetwear,neutrals|cool,10,50,casual|work,#1B1418,bottom-trousers,https://www.uniqlo.com/us/en/search?q=heattech+pants
b8,bottom,"Corduroy wide-leg, chocolate",Ganni,ganni.com,eclectic|romantic|minimalist,earth|neutrals,28,60,casual|date|gallery,#5A3A22,bottom-trousers,https://www.ganni.com/en-us/search?q=corduroy+trouser
b9,bottom,"Leather straight pant, black",Anine Bing,aninebing.com,edgy|minimalist,neutrals|bold,30,65,night|dinner|concert|date,#1B1418,bottom-trousers,https://www.aninebing.com/search?q=leather+pant
b10,bottom,Denim mini skirt,Agolde,agolde.com,streetwear|romantic|eclectic,cool|neutrals,60,90,casual|date,#4B5F7A,bottom-skirt,https://agolde.com/search?q=denim+skirt
b11,bottom,"Sweatpants, heather grey",Entireworld,entireworld.com,streetwear|minimalist,neutrals|cool,35,68,casual,#8C9099,bottom-trousers,https://www.entireworld.com/search?q=sweatpant
b12,bottom,"Pleated wool trouser, ivory",Wardrobe.NYC,wardrobe.nyc,minimalist|edgy|preppy,neutrals,30,65,work|dinner|gallery,#F0E8CE,bottom-trousers,https://wardrobe.nyc/search?q=pleated+trouser
b13,bottom,"Satin bias skirt, wine",Reformation,thereformation.com,romantic|eclectic|edgy,bold|earth,55,85,dinner|night|wedding-guest|date,#7A2A2E,bottom-skirt,https://www.thereformation.com/search?q=bias+satin+skirt
b14,bottom,"Barrel-leg jean, ecru",Citizens of Humanity,citizensofhumanity.com,eclectic|minimalist|streetwear,neutrals,38,80,casual|date|gallery,#E4D3B0,bottom-jean,https://www.citizensofhumanity.com/search?q=barrel+jean
b15,bottom,Track pant with side stripe,Adidas,adidas.com,streetwear|eclectic,neutrals|bold,40,72,casual,#1B1418|#F4EEDC,bottom-trousers,https://www.adidas.com/us/search?q=track+pant
b16,bottom,"Micro-shorts, black",Frankie Shop,thefrankieshop.com,edgy|streetwear,neutrals|bold,75,105,casual|night|date,#1B1418,bottom-shorts,https://thefrankieshop.com/search?q=micro+shorts
d4,dress,"Long-sleeve knit dress, black",Khaite,khaite.com,minimalist|edgy,neutrals,30,62,dinner|gallery|work|date,#1B1418,dress-column,https://khaite.com/search?q=knit+dress
d5,dress,"Poplin shirtdress, blue stripe",Everlane,everlane.com,minimalist|romantic|eclectic|preppy,cool|neutrals,62,92,casual|work|date,#4B5F7A|#F4EEDC,dress-column,https://www.everlane.com/search?q=shirtdress
d6,dress,Cottagecore prairie dress,Doen,shopdoen.com,romantic|eclectic,neutrals|earth,60,90,date|wedding-guest|dinner,#F0E8CE|#6E7A45,dress-prairie,https://shopdoen.com/search?q=prairie+dress
d7,dress,"Metallic mini, silver",Rotate,rotatebirgerchristensen.com,edgy|eclectic,cool|bold,62,90,night|concert|dinner,#C7C7CD,dress-slip,https://rotatebirgerchristensen.com/search?q=metallic+mini
d8,dress,"Draped jersey maxi, black",Norma Kamali,normakamali.com,minimalist|edgy|romantic,neutrals|bold,55,90,dinner|wedding-guest|gallery|date,#1B1418,dress-column,https://www.normakamali.com/search?q=jersey+maxi
s6,shoes,"Shearling-lined boot, black",Sorel,sorel.com,streetwear|minimalist|edgy,neutrals,-10,40,casual,#1B1418,shoe-boot,https://www.sorel.com/search?q=shearling+boot
s7,shoes,"Duck boot, waxed leather",L.L. Bean,llbean.com,streetwear|eclectic|minimalist,earth|neutrals,-10,45,casual,#5A3A22,shoe-boot,https://www.llbean.com/llb/search?q=bean+boot
s8,shoes,"Retro runner, cream",New Balance 990,newbalance.com,streetwear|minimalist|eclectic,neutrals|cool,35,95,casual,#E4D3B0|#8C9099,shoe-sneaker,https://www.newbalance.com/pd/990
s9,shoes,"Ballet flat, black patent",Repetto,repetto.com,romantic|minimalist|eclectic,neutrals,45,88,work|dinner|date|gallery,#1B1418,shoe-ballet,https://www.repetto.com/search?q=ballet+flat
s10,shoes,"Mesh mary jane, silver",Alaïa,maison-alaia.com,edgy|eclectic|romantic,cool|neutrals|bold,55,88,dinner|gallery|date|night,#C7C7CD,shoe-ballet,https://www.maison-alaia.com/en-us/search?q=mesh+flat
s11,shoes,"Platform clog, wood + black",No.6,no6store.com,eclectic|romantic|edgy,earth|neutrals,40,85,casual|gallery|date,#8A5A3B|#1B1418,shoe-chunky,https://no6store.com/search?q=platform+clog
s12,shoes,"Strappy heeled sandal, black",By Far,byfar.com,edgy|romantic|eclectic,neutrals|bold,65,105,night|dinner|wedding-guest|date,#1B1418,shoe-heel,https://byfar.com/search?q=strappy+sandal
s13,shoes,"Slide sandal, tan leather",Ancient Greek Sandals,ancient-greek-sandals.com,minimalist|romantic|eclectic,earth|neutrals,72,110,casual|date,#C9A57A,shoe-sandal,https://ancient-greek-sandals.com/search?q=slide
o7,outerwear,"Heavy wool overcoat, charcoal",Max Mara,maxmara.com,minimalist|edgy|romantic,neutrals|cool,-5,42,work|dinner|gallery|date,#33383F,outer-coat,https://us.maxmara.com/search?q=wool+overcoat
o8,outerwear,"Down puffer, matte black",Uniqlo Ultra Light,uniqlo.com,streetwear|minimalist,neutrals,-10,40,casual,#1B1418,outer-puffer,https://www.uniqlo.com/us/en/search?q=ultra+light+down
o9,outerwear,Shearling-collar barn jacket,Alex Mill,alexmill.com,eclectic|minimalist|streetwear,earth|neutrals,15,50,casual|gallery|date,#5A3A22,outer-barn,https://www.alexmill.com/search?q=barn+jacket
o10,outerwear,"Long shearling coat, cream",Toteme,toteme-studio.com,minimalist|romantic|eclectic,neutrals|earth,-5,38,dinner|gallery|date,#F0E8CE,outer-coat,https://toteme-studio.com/search?q=shearling+coat
o11,outerwear,"Quilted liner jacket, olive",Barbour,barbour.com,eclectic|minimalist|romantic|preppy,earth,35,58,casual|gallery|date,#6E7A45,outer-moto,https://www.barbour.com/us/search?q=liddesdale
o12,outerwear,"Faux fur coat, cocoa",Stand Studio,standstudio.com,eclectic|romantic|edgy,earth|neutrals,5,42,dinner|night|gallery|date,#5A3A22,outer-coat,https://www.standstudio.com/search?q=faux+fur+coat
o13,outerwear,"Cropped puffer, silver",The North Face,thenorthface.com,streetwear|edgy|eclectic,cool|neutrals,-10,40,casual,#C7C7CD,outer-puffer,https://www.thenorthface.com/search?q=nuptse
o14,outerwear,"Longline cardigan coat, oatmeal",COS,cos.com,minimalist|romantic,neutrals|earth,38,60,work|dinner|date|gallery,#E4D3B0,outer-coat,https://www.cos.com/en_usd/search.html?q=knit+coat
o15,outerwear,"Waxed cotton anorak, navy",Filson,filson.com,streetwear|minimalist|eclectic,cool|earth,35,60,casual,#1E2A44,outer-shell,https://www.filson.com/search?q=waxed+jacket
o16,outerwear,"Wool-blend bomber, oxblood",AMI Paris,amiparis.com,streetwear|edgy|eclectic,bold|earth,38,62,casual|night|date,#7A2A2E,outer-bomber,https://www.amiparis.com/us/search?q=bomber
h4,headwear,"Ribbed wool beanie, oatmeal",Le Bonnet,lebonnet.com,streetwear|minimalist|eclectic,neutrals|earth,-10,50,casual,#E4D3B0,head-beret,https://lebonnet.com/search?q=beanie
h5,headwear,"Bucket hat, corduroy",Kangol,kangol.com,streetwear|eclectic,earth|neutrals,40,90,casual,#5A3A22,head-cap,https://www.kangol.com/search?q=bucket+hat
h6,headwear,"Silk head scarf, floral",& Other Stories,stories.com,romantic|eclectic|preppy,bold|earth,55,95,casual|date|dinner,#B23A2E|#D9A44F,head-beret,https://www.stories.com/en_usd/search.html?q=silk+scarf
h7,headwear,"Newsboy cap, herringbone",Brixton,brixton.com,eclectic|romantic|preppy,cool|earth,35,68,casual|date|gallery,#33383F,head-cap,https://www.brixton.com/search?q=newsboy
h8,headwear,"Faux fur ushanka, black",UGG,ugg.com,eclectic|streetwear|edgy,neutrals,-15,32,casual,#1B1418,head-widebrim,https://www.ugg.com/search?q=trapper+hat
j5,jewelry,"Vintage brooch, pavé bar",Susan Alexandra,susanalexandra.com,eclectic|romantic,bold|neutrals,0,120,dinner|gallery|wedding-guest|date,#C7C7CD|#D9A44F,jew-ring,https://susanalexandra.com/search?q=brooch
j6,jewelry,"Silver cuff, brushed",Ariel Gordon,arielgordonjewelry.com,minimalist|edgy|eclectic|streetwear,cool|neutrals,0,120,work|dinner|date|gallery|casual,#B8B8BE,jew-ring,https://arielgordonjewelry.com/search?q=cuff
j7,jewelry,Beaded charm necklace,Éliou,eliou-eliou.com,romantic|eclectic,bold|earth,0,120,casual|date|dinner,#D96B5A|#F0E8CE|#2A5F6E,jew-chain,https://eliou-eliou.com/search?q=beaded
j8,jewelry,"Tennis bracelet, gold + CZ",Mejuri,mejuri.com,minimalist|romantic|eclectic,neutrals|bold,0,120,dinner|wedding-guest|date|gallery,#D9A44F,jew-chain,https://mejuri.com/search?q=tennis+bracelet
j9,jewelry,"Cross pendant, oxidized silver",Werkstatt:München,werkstatt-muenchen.com,edgy|eclectic|streetwear,neutrals|cool,0,120,night|concert|date|casual,#4B4B50,jew-chain,https://werkstatt-muenchen.com/search?q=cross
j10,jewelry,"Chunky Cuban-link chain, silver",Miansai,miansai.com,streetwear|edgy,cool|neutrals,0,120,casual|night|concert|date,#B8B8BE,jew-chain,https://www.miansai.com/search?q=cuban+chain
j11,jewelry,"Statement signet ring, oversized",Tom Wood,tomwoodproject.com,streetwear|edgy|minimalist,cool|neutrals|earth,0,120,casual|night|date|dinner,#D9A44F,jew-ring,https://www.tomwoodproject.com/search?q=signet+ring
j12,jewelry,"Rope chain necklace, gold",David Yurman,davidyurman.com,streetwear|eclectic|edgy,neutrals|earth|bold,0,120,casual|dinner|date|night,#D9A44F,jew-chain,https://www.davidyurman.com/search?q=rope+chain
g4,bag,"Suede hobo, chocolate",The Row,therow.com,minimalist|romantic|eclectic,earth|neutrals,35,85,work|dinner|gallery|date,#5A3A22,bag-tote,https://www.therow.com/search?q=hobo
g5,bag,"Mini shoulder bag, silver metallic",Marge Sherwood,margesherwood.com,eclectic|edgy|romantic,cool|neutrals,0,120,night|dinner|date,#C7C7CD,bag-cross,https://margesherwood.com/search?q=mini+shoulder
g6,bag,"Canvas messenger, ecru",Filson,filson.com,streetwear|minimalist|eclectic,neutrals|earth,0,120,casual|work,#E4D3B0,bag-cross,https://www.filson.com/search?q=messenger
g7,bag,Beaded evening minaudière,Cult Gaia,cultgaia.com,romantic|eclectic|edgy,bold|neutrals,45,100,wedding-guest|dinner|night,#F4EEDC|#D9A44F,bag-cross,https://cultgaia.com/search?q=minaudiere
t20,top,"Bow-detail satin blouse, butter",Sandy Liang,sandyliang.info,romantic|eclectic,neutrals|earth,55,85,date|dinner|gallery,#F0DFA0,top-blouse,https://sandyliang.info/search?q=bow+blouse
t21,top,"Peplum-hem crewneck, chocolate",Cecilie Bahnsen,ceciliebahnsen.com,romantic|eclectic,earth,45,72,date|dinner|gallery,#4E322A,top-blouse,https://ceciliebahnsen.com/search?q=peplum+top
t22,top,"Sheer mesh long-sleeve, chocolate",Paloma Wool,palomawool.com,romantic|edgy|eclectic,earth,60,88,dinner|date|night|gallery,#5A3A22,top-blouse,https://palomawool.com/search?q=sheer+mesh
t23,top,"Cropped varsity cardigan, cherry",Ganni,ganni.com,romantic|eclectic|streetwear,bold|neutrals,45,72,casual|date|dinner,#B01A2E,top-cardigan,https://www.ganni.com/en-us/search?q=cropped+cardigan
t24,top,"Grandpa cardigan, oversized oatmeal",The Elder Statesman,elder-statesman.com,minimalist|eclectic|romantic|streetwear|preppy,neutrals|earth,38,65,casual|date|gallery|work,#E4D3B0,top-cardigan,https://elder-statesman.com/search?q=cardigan
t25,top,"Rosette-detail tank, cream",Simone Rocha,simonerocha.com,romantic|eclectic,neutrals,65,92,date|dinner|wedding-guest|gallery,#F4EEDC,top-tank,https://simonerocha.com/search?q=rosette
t26,top,"Lace-trim camisole, baby blue",Reformation,thereformation.com,romantic|eclectic,cool|neutrals,65,92,date|dinner|night,#B8CFE0,top-tank,https://www.thereformation.com/search?q=lace+camisole
t27,top,"Cropped baby tee, mocha",Éterne,eterne.co,streetwear|minimalist|romantic,earth|neutrals,62,95,casual|date,#8A6A55,top-tshirt,https://eterne.co/search?q=baby+tee
t28,top,"Boat-neck striped tee, sage/cream",Loulou Studio,louloustudio.com,minimalist|romantic|eclectic,earth|neutrals,55,85,casual|date|gallery,#A5B098|#F4EEDC,top-tshirt,https://louloustudio.com/search?q=striped+tee
t29,top,"Silk halter blouse, oxblood",Khaite,khaite.com,minimalist|edgy|eclectic,bold|earth,62,90,dinner|night|date|gallery,#5C1A20,top-tank,https://khaite.com/search?q=halter
b17,bottom,"Capri pants, black",Wardrobe.NYC,wardrobe.nyc,minimalist|edgy|eclectic,neutrals,58,90,dinner|date|gallery|work,#1B1418,bottom-trousers,https://wardrobe.nyc/search?q=capri
b18,bottom,"Bermuda short, chocolate suede",Nanushka,nanushka.com,eclectic|minimalist|romantic,earth,62,88,casual|date|gallery,#5A3A22,bottom-shorts,https://nanushka.com/search?q=bermuda
b19,bottom,"Barrel jean, dark indigo",Agolde,agolde.com,streetwear|eclectic|minimalist,cool,38,80,casual|date,#1E2A44,bottom-jean,https://agolde.com/search?q=barrel+jean
b20,bottom,"Suede maxi skirt, cognac",Chloé,chloe.com,romantic|eclectic|minimalist,earth,50,82,date|dinner|gallery|wedding-guest,#8A5A3B,bottom-skirt,https://www.chloe.com/us/search?q=suede+skirt
b21,bottom,"Sequin mini skirt, silver",Rotate,rotatebirgerchristensen.com,eclectic|edgy|romantic,cool|bold,60,90,night|concert|dinner|wedding-guest,#C7C7CD,bottom-skirt,https://rotatebirgerchristensen.com/search?q=sequin+skirt
b22,bottom,"Tailored bermuda, butter",Frankie Shop,thefrankieshop.com,minimalist|eclectic|streetwear,neutrals,62,90,casual|work|date,#F0DFA0,bottom-shorts,https://thefrankieshop.com/search?q=bermuda
b23,bottom,"Tiered boho maxi skirt, ecru",Doen,shopdoen.com,romantic|eclectic,neutrals|earth,58,88,date|dinner|gallery|wedding-guest,#F0E8CE,bottom-pleated,https://shopdoen.com/search?q=tiered+skirt
b24,bottom,"Wide-leg linen trouser, sage",Faithfull the Brand,faithfullthebrand.com,romantic|minimalist|eclectic,earth,65,95,casual|date|gallery,#A5B098,bottom-trousers,https://faithfullthebrand.com/search?q=linen+trouser
d9,dress,"Tiered boho maxi, ivory + tan trim",Chloé,chloe.com,romantic|eclectic,neutrals|earth,62,95,wedding-guest|date|dinner,#F0E8CE|#C9A57A,dress-slip,https://www.chloe.com/us/search?q=boho+dress
d10,dress,"Bow-strap slip dress, butter",Sandy Liang,sandyliang.info,romantic|eclectic,neutrals,65,92,date|dinner|wedding-guest,#F0DFA0,dress-slip,https://sandyliang.info/search?q=slip+dress
d11,dress,"Sheer lace maxi, black",Simone Rocha,simonerocha.com,romantic|edgy|eclectic,neutrals,60,88,night|dinner|wedding-guest|gallery,#1B1418,dress-column,https://simonerocha.com/search?q=lace+dress
d12,dress,"Halter mini, cherry red",Réalisation Par,realisationpar.com,eclectic|romantic|edgy,bold,68,95,date|dinner|night|wedding-guest,#B01A2E,dress-slip,https://realisationpar.com/search?q=halter+dress
s14,shoes,"Ballet flat with bow, cream mesh",Alaïa,maison-alaia.com,romantic|minimalist|eclectic,neutrals,50,88,work|dinner|date|gallery,#F4EEDC,shoe-ballet,https://www.maison-alaia.com/en-us/search?q=ballet+bow
s15,shoes,"Boat shoe, tan leather",Sperry,sperry.com,streetwear|minimalist|eclectic|romantic|preppy,earth|neutrals,55,95,casual|date|gallery,#8A5A3B,shoe-loafer,https://www.sperry.com/search?q=authentic+original
s16,shoes,"Gazelle sneaker, cherry",Adidas,adidas.com,streetwear|eclectic|romantic,bold|neutrals,40,95,casual|date,#B01A2E|#F4EEDC,shoe-sneaker,https://www.adidas.com/us/search?q=gazelle
s17,shoes,"Kitten-heel mule, oxblood suede",Loeffler Randall,loefflerrandall.com,romantic|minimalist|eclectic,bold|earth,55,88,dinner|gallery|date|work,#5C1A20,shoe-mule,https://www.loefflerrandall.com/search?q=kitten+mule
s18,shoes,"Slouchy suede boot, chocolate",Isabel Marant,isabelmarant.com,romantic|eclectic|edgy,earth,25,60,casual|date|dinner|gallery,#5A3A22,shoe-boot,https://www.isabelmarant.com/us/search?q=suede+boot
s19,shoes,"Fisherman sandal, tan",Aeyde,aeyde.com,minimalist|romantic|eclectic,earth|neutrals,68,105,casual|date|gallery,#C9A57A,shoe-sandal,https://aeyde.com/search?q=fisherman+sandal
o17,outerwear,"Barn jacket, waxed olive",Barbour,barbour.com,minimalist|eclectic|streetwear|romantic|preppy,earth,35,62,casual|date|gallery,#4A5232,outer-moto,https://www.barbour.com/us/search?q=beaufort
o18,outerwear,"Suede car coat, cognac",Isabel Marant Étoile,isabelmarant.com,romantic|eclectic|minimalist,earth,35,58,date|dinner|gallery,#8A5A3B,outer-coat,https://www.isabelmarant.com/us/search?q=suede+coat
o19,outerwear,"Cropped satin bomber, butter",KHY,khy.com,streetwear|eclectic|edgy,neutrals|bold,42,68,casual|night|date,#F0DFA0,outer-moto,https://khy.com/search?q=bomber
o20,outerwear,"Cape coat, sage wool",Massimo Dutti,massimodutti.com,romantic|minimalist|eclectic,earth|neutrals,28,55,dinner|gallery|date|wedding-guest,#A5B098,outer-coat,https://www.massimodutti.com/us/search?q=cape+coat
o21,outerwear,"Long trench, chocolate",Toteme,toteme-studio.com,minimalist|edgy|romantic,earth,42,66,work|gallery|date|dinner,#4E322A,outer-trench,https://toteme-studio.com/search?q=long+trench
